Dossier,species,type,dimorphism,lifestage,test,train,total_img,order,family,genus
Abudefduf_sexfasciatus,abudefduf sexfasciatus,species,FALSE,NA,74,211,285,Perciformes,Pomacentridae,Abudefduf
Abudefduf_sparoides,abudefduf sparoides,species,FALSE,NA,597,775,1372,Perciformes,Pomacentridae,Abudefduf
Abudefduf_vaigiensis,abudefduf vaigiensis,species,FALSE,NA,306,1140,1446,Perciformes,Pomacentridae,Abudefduf
Acanthurus_leucosternon,acanthurus leucosternon,species,FALSE,NA,694,989,1683,Perciformes,Acanthuridae,Acanthurus
Acanthurus_lineatus,acanthurus lineatus,species,FALSE,NA,331,596,927,Perciformes,Acanthuridae,Acanthurus
Acanthurus_nigricauda,acanthurus nigricauda,species,FALSE,NA,32,378,410,Perciformes,Acanthuridae,Acanthurus
Acanthurus_tennenti,acanthurus tennenti,species,FALSE,NA,210,317,527,Perciformes,Acanthuridae,Acanthurus
Acanthurus_thompsoni,acanthurus thompsoni,species,FALSE,NA,586,783,1369,Perciformes,Acanthuridae,Acanthurus
Aethaloperca_rogaa,aethaloperca rogaa,species,FALSE,NA,494,714,1208,Perciformes,Serranidae,Aethaloperca
Amanses_scopas,amanses scopas,species,FALSE,NA,31,62,93,Tetraodontiformes,Monacanthidae,Amanses
Amblyglyphidodon_indicus,amblyglyphidodon indicus,species,FALSE,NA,338,601,939,Perciformes,Pomacentridae,Amblyglyphidodon
Anampses_lineatus,anampses lineatus,species,FALSE,NA,92,97,189,Perciformes,Labridae,Anampses
Anampses_meleagrides_female,anampses meleagrides,species,TRUE,female,170,261,431,Perciformes,Labridae,Anampses
Anampses_twistii,anampses twistii,species,FALSE,NA,126,209,335,Perciformes,Labridae,Anampses
Apolemichthys_trimaculatus,apolemichthys trimaculatus,species,FALSE,NA,300,320,620,Perciformes,Pomacanthidae,Apolemichthys
Arothron_nigropunctatus,arothron nigropunctatus,species,FALSE,NA,127,261,388,Tetraodontiformes,Tetraodontidae,Arothron
Aulostomus_chinensis,aulostomus chinensis,species,FALSE,NA,251,275,526,Syngnathiformes,Aulostomidae,Aulostomus
Balistapus_undulatus,balistapus undulatus,species,FALSE,NA,765,823,1588,Tetraodontiformes,Balistidae,Balistapus
Bodianus_diana,bodianus diana,species,FALSE,NA,200,229,429,Perciformes,Labridae,Bodianus
Caesio_lunaris,caesio lunaris,species,FALSE,NA,358,385,743,Perciformes,Caesionidae,Caesio
Caesio_xanthonota,caesio xanthonota,species,FALSE,NA,915,1150,2065,Perciformes,Caesionidae,Caesio
Canthigaster_valentini,canthigaster valentini,species,FALSE,NA,72,182,254,Tetraodontiformes,Tetraodontidae,Canthigaster
Caranx_melampygus,caranx melampygus,species,FALSE,NA,62,92,154,Perciformes,Carangidae,Caranx
Centropyge_multispinis,centropyge multispinis,species,FALSE,NA,82,287,369,Perciformes,Pomacanthidae,Centropyge
Cephalopholis_argus,cephalopholis argus,species,FALSE,NA,476,524,1000,Perciformes,Serranidae,Cephalopholis
Chaetodon_auriga,chaetodon auriga,species,FALSE,NA,774,1000,1774,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_falcula,chaetodon falcula,species,FALSE,NA,112,306,418,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_guttatissimus,chaetodon guttatissimus,species,FALSE,NA,392,638,1030,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_kleinii,chaetodon kleinii,species,FALSE,NA,728,746,1474,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_lunula,chaetodon lunula,species,FALSE,NA,69,309,378,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_melannotus,chaetodon melannotus,species,FALSE,NA,66,171,237,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_meyeri,chaetodon meyeri,species,FALSE,NA,240,344,584,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_trifascialis_adu,chaetodon trifascialis,species,TRUE,adu,1435,1822,3257,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_trifascialis_juv,chaetodon trifascialis,species,TRUE,juv,15,69,84,Perciformes,Chaetodontidae,Chaetodon
Chaetodon_trifasciatus,chaetodon trifasciatus,species,FALSE,NA,1102,1146,2248,Perciformes,Chaetodontidae,Chaetodon
Cheilinus_fasciatus,cheilinus fasciatus,species,FALSE,NA,340,376,716,Perciformes,Labridae,Cheilinus
Cheilinus_trilobatus,cheilinus trilobatus,species,FALSE,NA,151,258,409,Perciformes,Labridae,Cheilinus
Chlorurus_sordidus_female,chlorurus sordidus,species,TRUE,female,317,402,719,Perciformes,Scaridae,Chlorurus
Chlorurus_sordidus_male,chlorurus sordidus,species,TRUE,male,95,131,226,Perciformes,Scaridae,Chlorurus
Chlorurus_strongylocephalus_female,chlorurus strongylocephalus,species,TRUE,female,19,366,385,Perciformes,Scaridae,Chlorurus
Chromis_atripectoralis,chromis atripectoralis,species,FALSE,NA,109,196,305,Perciformes,Pomacentridae,Chromis
Chromis_lepidolepis,chromis lepidolepis,species,FALSE,NA,68,373,441,Perciformes,Pomacentridae,Chromis
Chromis_nigroanalis,chromis nigroanalis,species,FALSE,NA,65,375,440,Perciformes,Pomacentridae,Chromis
