Dossier,Nb_Elements
".",115034
"./test",46027
"./test/Abudefduf_sexfasciatus",74
"./test/Abudefduf_sparoides",597
"./test/Abudefduf_vaigiensis",306
"./test/Acanthurus_leucosternon",694
"./test/Acanthurus_lineatus",331
"./test/Acanthurus_nigricauda",32
"./test/Acanthurus_tennenti",210
"./test/Acanthurus_thompsoni",586
"./test/Aethaloperca_rogaa",494
"./test/Amanses_scopas",31
"./test/Amblyglyphidodon_indicus",338
"./test/Anampses_lineatus",92
"./test/Anampses_meleagrides_female",170
"./test/Anampses_twistii",126
"./test/Apolemichthys_trimaculatus",300
"./test/Arothron_nigropunctatus",127
"./test/Aulostomus_chinensis",251
"./test/Balistapus_undulatus",765
"./test/Bodianus_diana",200
"./test/Caesio_lunaris",358
"./test/Caesio_xanthonota",915
"./test/Canthigaster_valentini",72
"./test/Caranx_melampygus",62
"./test/Centropyge_multispinis",82
"./test/Cephalopholis_argus",476
"./test/Chaetodon_auriga",774
"./test/Chaetodon_falcula",112
"./test/Chaetodon_guttatissimus",392
"./test/Chaetodon_kleinii",728
"./test/Chaetodon_lunula",69
"./test/Chaetodon_melannotus",66
"./test/Chaetodon_meyeri",240
"./test/Chaetodon_trifascialis_adu",1435
"./test/Chaetodon_trifascialis_juv",15
"./test/Chaetodon_trifasciatus",1102
"./test/Cheilinus_fasciatus",340
"./test/Cheilinus_trilobatus",151
"./test/Chlorurus_sordidus_female",317
"./test/Chlorurus_sordidus_male",95
"./test/Chlorurus_strongylocephalus_female",19
"./test/Chromis_atripectoralis",109
"./test/Chromis_lepidolepis",68
"./test/Chromis_nigroanalis",65
"./test/Chromis_nigrura",159
"./test/Chromis_opercularis",172
"./test/Chromis_ternatensis",796
"./test/Chromis_viridis",424
"./test/Chromis_weberi",1367
"./test/Ctenochaetus_striatus",424
"./test/Ctenochaetus_truncatus",340
"./test/Dascyllus_trimaculatus_adu",275
"./test/Epibulus_insidiator",47
"./test/Fistularia_commersonii",72
"./test/Forcipiger_flavissimus",153
"./test/Gnathodentex_aureolineatus",211
"./test/Gomphosus_caeruleus_female",806
"./test/Gomphosus_caeruleus_juv",57
"./test/Gomphosus_caeruleus_male",883
"./test/Gracila_albomarginata",276
"./test/Gymnothorax_javanicus",2
"./test/Halichoeres_cosmetus",72
"./test/Halichoeres_hortulanus",1308
"./test/Halichoeres_marginatus",121
"./test/Halichoeres_scapularis",25
"./test/Hemigymnus_fasciatus",535
"./test/Hemitaurichthys_zoster",216
"./test/Heniochus_acuminatus",283
"./test/Heniochus_monoceros",94
"./test/Kyphosus_cinerascens",44
"./test/Labrichthys_unilineatus_adu",187
"./test/Labroides_bicolor_female",42
"./test/Labroides_bicolor_male",153
"./test/Labroides_dimidiatus_adu",856
"./test/Lutjanus_bohar_adu",154
"./test/Lutjanus_bohar_juv",678
"./test/Lutjanus_gibbus_juv",195
"./test/Lutjanus_kasmira",188
"./test/Macolor_niger_adu",122
"./test/Macolor_niger_juv",243
"./test/Melichthys_indicus",121
"./test/Monotaxis_grandoculis_adu",343
"./test/Monotaxis_grandoculis_juv",1049
"./test/Myripristis_berndti",89
"./test/Naso_brachycentron_male",39
"./test/Naso_brevirostris_adu",292
"./test/Naso_elegans",2324
"./test/Naso_hexacanthus",298
"./test/Naso_unicornis",18
"./test/Naso_vlamingii",463
"./test/Odonus_niger",305
"./test/Oxycheilinus_digramma_adu",230
"./test/Oxycheilinus_digramma_juv",26
"./test/Oxymonacanthus_longirostris",502
"./test/Paracirrhites_arcatus",71
